keys,zh_CN,en_US
gem.effect.conductive.enemy_red_action,电击 ({damage}),Shock ({damage})
gem.effect.conductive.blue_turn_start,被动：站在水洼上电击周围敌人,Passive: while on water, shock nearby enemies
gem.effect.conductive.armor_bonus,被动：站在水洼上 +1 护甲,Passive: gain +1 armor while standing on water
gem.effect.conductive.black_death,死亡：周围水洼导电连锁,Death: chain conductive shocks through nearby water
gem.effect.conductive.tile_turn_start,光环：3 格内水洼每回合电击,Aura: water within 3 tiles shocks each turn
gem.effect.fragile.player_skill,碎击：对目标造成 3 伤害，但宝石碎裂消失,Shatter: deal 3 damage to the target, then destroy the gem
gem.effect.fragile.unit_red_active,触发：自毁并造成范围伤害,Trigger: self-destruct and deal area damage
gem.effect.fragile.enemy_red_action,冲撞自毁 ({damage}),Fragile charge ({damage})
gem.effect.fragile.attack_bonus,被动：攻击 +1 伤害,Passive: attacks deal +1 damage
gem.effect.fragile.black_death,死亡：四邻格 1 伤害,Death: deal 1 damage to the 4 neighboring cells
gem.effect.arc.player_skill,技能：电击相连水域，水域及边缘潮湿单位各受一次电弧（6.6%麻痹）,Skill: shock connected water; each wet unit on water or its edge takes arc damage (6.6% paralyze)
gem.effect.arc.unit_red_active,攻击水域：导电潮湿单位；攻击陆地单位则2格内弹射1次,Attack water to shock wet units; on land targets arc once within 2 tiles (6.6% paralyze)
gem.effect.arc.enemy_red_action,电击 ({damage}),Shock ({damage})
gem.effect.arc.blue_damaged,被动：受击概率反击电击,Passive: chance to shock the attacker when damaged
gem.effect.arc.black_death,死亡：周围水洼导电连锁,Death: chain conductive shocks through nearby water
gem.effect.fire_gem.player_skill,烈焰：目标格造火并点燃敌人,Burn: create fire on target cell and ignite enemies
gem.effect.fire_gem.unit_red_active,触发：自身格造火,Trigger: create fire on the owner's cell
gem.effect.fire_gem.enemy_red_action,烈焰攻击 ({damage}),Fire attack ({damage})
gem.effect.fire_gem.blue_damaged,被动：接触敌人叠加着火,Passive: inflict burning on contact
gem.effect.fire_gem.black_death,死亡：周围散布火焰,Death: scatter fire in the surrounding area
gem.effect.ice.player_skill,寒冰：冰冻目标（潮湿则冻结）,Ice: chill the target (freeze if wet)
gem.effect.ice.unit_red_active,触发：自身获得缓速,Trigger: apply slowed to self
gem.effect.ice.enemy_red_action,寒冰攻击 ({damage}),Ice attack ({damage})
gem.effect.ice.blue_damaged,被动：接触敌人叠加缓速,Passive: inflict slowed on contact
gem.effect.ice.black_death,死亡：周围单位获得迟滞,Death: apply sluggish to nearby units
gem.split.name,分裂,Split
gem.split.symbol,裂,Split
gem.intent.split_attack,分裂射击 ({damage}x3),Split Shot ({damage}x3)
gem.effect.split.unit_red_active,触发：V字三发，每发 70% 伤害,Trigger: 3-way V-shot each dealing 70% damage
gem.effect.split.enemy_red_action,分裂射击 ({damage}x3),Split Shot ({damage}x3)
gem.effect.split.blue_damaged,被动：受击时 50% 伤害转移至周围 1 格内随机单位（无目标不减伤）,Passive: redirect 50% of incoming damage to a random unit within 1 tile (no redirect if none)
gem.effect.split.black_death,死亡：在空地生成两个全属性 30% 的分身,Death: spawn two clones with 30% stats on empty cells
